recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
Steve Hadley for City Council 2010,2010,Steve Hadley,Steve Hadley for City Council 2010,1319024,San Diego City Council District 6,Support
Tim Nader,2010,Tim Nader,Tim Nader,,Southwestern Community College District Governing Board,
Tony Young,2010,Tony Young ,Tony Young ,,San Diego City Council District 4,
Tony Young for City Council 2010,2010,Tony Young ,Tony Young for City Council 2010,1319082,San Diego City Council District 4,Support
"Working Family Issues to support Proposition D., a sponsored committee of the San Diego and Imperial Counties Labor Council, AFL-CIO",2010,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","Working Family Issues to support Proposition D., a sponsored committee of the San Diego and Imperial Counties Labor Council, AFL-CIO",1332817,,Support
Working San Diegans PAC,2010,,Working San Diegans PAC,1331116,,
"Yes on Prop. B, Sponsored by Deputy City Attorneys Assn. of San Diego",2010,B: Amends City Charter to add good cause requirement for certain terminations or suspensions of deputy city attorneys,"Yes on Prop. B, Sponsored by Deputy City Attorneys Assn. of San Diego",1332067,,Support
"Yes on Propositions A, B & C Committee",2010,A: Amends the City Charter to exempt from the managed competition process the core public safety services provided by participants in the City's safety retirement system,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2010,B: Amends Charter to Require Council to Submit Charter Amendments to Voters at June 2010 Election Relating to Strong Mayor Form of Governance,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2010,"C: Amends City Charter relating to chief financial officer, city auditor, independent budget analyst, treasurer and audit committee","Yes on Propositions A, B & C Committee",1305653,,Support
2012 Candidate for San Diego Mayor Tobiah Pettus,2011,Tobiah Pettus,2012 Candidate for San Diego Mayor Tobiah Pettus,1339330,San Diego Mayor,Support
"A Better San Diego Issues Committee, a Sponsored Committee of the San Diego-Imperial Counties Labor Council, AFL-CIO",2011,,"A Better San Diego Issues Committee, a Sponsored Committee of the San Diego-Imperial Counties Labor Council, AFL-CIO",1338947,,
Fair and Open Competition in Contracting,2011,A: Prohibits the City from requiring project labor agreements on City construction projects,A: Prohibits the City from requiring project labor agreements on City construction projects,,,
Assemblyman Fletcher 2010 Officeholder Account,2011,Nathan Fletcher,Assemblyman Fletcher 2010 Officeholder Account,1338864,San Diego Mayor,Support
Associated Builders & Contractors PAC,2011,,Associated Builders & Contractors Political Action Committee,822138,,
PENSION REFORM,2011,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
Pension Reform,2011,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
Bob Filner for Mayor 2012,2011,Bob Filner,Bob Filner for Mayor 2012,1339185,San Diego Mayor,Support
Bonnie Dumanis for Mayor 2012,2011,Bonnie Dumanis,Bonnie Dumanis for Mayor 2012,1337343,San Diego Mayor,Support
Brian 'Barry' Pollard,2011,Brian 'Barry' Pollard,Brian 'Barry' Pollard,1330949,San Diego City Council District 4,Support
Brian Maienschein for City Attorney,2011,Brian Maienschein ,Brian Maienschein for City Attorney,1303774,San Diego City Attorney,Support
Brian Maienschein for City Council,2011,Brian Maienschein ,Brian Maienschein for City Council,1235908,San Diego City Council District 5,Support
California Restaurant Association Issues PAC,2011,,California Restaurant Association Issues Political Action Committee,901032,,
Carl DeMaio for Mayor 2012,2011,Carl DeMaio,Carl DeMaio for Mayor 2012,1334720,San Diego Mayor,Support
Christine Kehoe for Mayor 2012,2011,Christine Kehoe,Christine Kehoe for Mayor 2012,1339139,San Diego Mayor,Support
Citizens for Patient Rights,2011,,"Citizens for Patient Rights, sponsored by the Patient Care Association, an association of medicinal cannabis patients and patient organizations",1338342,,
"Citizens for Patient Rights, sponsored by the Patient Care Association, an association of medicinal cannabis patients and patient organizations",2011,,"Citizens for Patient Rights, sponsored by the Patient Care Association, an association of medicinal cannabis patients and patient organizations",1338342,,
Coalition for Fair Employment in Construction,2011,,Coalition for Fair Employment in Construction,1337381,,
Comprehensive Pension Reform for San Diego,2011,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",2011,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
David Alvarez for City Council 2010,2011,David Alvarez,David Alvarez for City Council 2010,1318768,San Diego City Council District 8,Support
Ellis for Council 2012,2011,Ray Ellis,Ellis for Council 2012,1341190,San Diego City Council District 1,Support
"Fair and Open Competition - A, with major funding by Associated Builders & Contractors of San Diego, Inc. and Associated General Contractors of San Diego, Inc.",2011,A: Prohibits the City from requiring project labor agreements on City construction projects,"Fair and Open Competition - San Diego - Yes on A, with major funding by Associated Builders & Contractors of San Diego, Inc. and Associated General Contractors of San Diego, Inc.",1336595,,Support
Faulconer for Council 2010,2011,Kevin Faulconer,Faulconer for Council 2010,1318781,San Diego City Council District 2,Support
Fletcher for Mayor 2012,2011,Nathan Fletcher,Fletcher for Mayor 2012,1339102,San Diego Mayor,Support
Friends of Bob Ilko,2011,Bob Ilko,Friends of Bob Ilko,1299411,San Diego City Council District 5,Support
Gentry for City Attorney,2011,William Gentry ,Gentry for City Attorney,1301578,San Diego City Attorney,Support
Gomez for City Council 2012,2011,Georgette Gomez ,Gomez for City Council 2012,1341602,San Diego City Council District 9,Support
Howard Wayne for Council 2010,2011,Howard Wayne,Howard Wayne for Council 2010,1318770,San Diego City Council District 6,Support
Jerry Kern,2011,Jerry Kern,Jerry Kern,,Oceanside City Council,
Jim Morrison City Council 2010,2011,Jim Morrison,Jim Morrison City Council 2010,1327333,San Diego City Council District 2,Support
Jim Morrison for City Council,2011,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
"Just Say No, San Diego",2011,A: Prohibits the City from requiring project labor agreements on City construction projects,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
"Just Say No, San Diego",2011,B: Amends City Charter regarding retirement benefits,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
Kersey for Council 2012,2011,Mark Kersey,Kersey for Council 2012,1338545,San Diego City Council District 5,Support
Lincoln Club of San Diego Co.,2011,,Lincoln Club of SD County,831561/C00177766,,
Lincoln Club of San Diego County,2011,,Lincoln Club of SD County,831561/C00177766,,
Lincoln Club of SD County,2011,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2011,,Lincoln Club of SD County,831561/C00177766,,
Lorie Zapf for City Council 2010,2011,Lorie Zapf,Lorie Zapf for City Council 2010,1319545,San Diego City Council District 6,Support
Marti Emerald for City Council 2012,2011,Marti Emerald ,Marti Emerald for City Council 2012,1339119,San Diego City Council District 9,Support
Mat Kostrinsky for City Council 2012,2011,Mat Kostrinsky ,Mat Kostrinsky for City Council 2012,1340950,San Diego City Council District 7,Support
Neighborhoods for Clean Elections,2011,,Neighborhoods for Clean Elections,1280768,,
New Car Dealers Association PAC,2011,,New Car Dealers Association PAC,902797,,
No Committee City Attorney Jan Goldsmith,2011,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
Pat McOsker,2011,Pat McOsker ,Pat McOsker ,,Los Angeles City Council,
Patrick Finucane for City Council 2010,2011,Patrick Finucane ,Patrick Finucane for City Council 2010,1318850,San Diego City Council District 2,Support
Phil Thalheimer for City Council,2011,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
"Protect fire and police services, Yes on Prop. D, sponsored by San Diego City Fire Fighters Local 145 PAC, San Diego Police Officers Assn. PAC, business leaders, organized labor & concerned taxpayers",2011,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","Protect fire and police services, Yes on Prop. D, sponsored by San Diego City Fire Fighters Local 145 PAC, San Diego Police Officers Assn. PAC, business leaders, organized labor & concerned taxpayers",1330359,,Support
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2011,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Reform San Diego,2011,,Reform San Diego,1268914,,
Reforming City Hall with Carl DeMaio,2011,Carl DeMaio,Reforming City Hall with Carl DeMaio,1268914,San Diego City Council District 5,Support
Republican Party of San Diego County,2011,,Republican Party of San Diego County,741949,,
"Safe Beaches San Diego, yes on D Committee",2011,"D: Making alcohol consumption unlawful at City beaches, Mission Bay Park, and coastal parks","Safe Beaches San Diego, yes on D Committee",1310299,,Support
"San Diegans Against Government Waste - No On D, Sponsored by the Lincoln Club of San Diego County and the San Diego Restaurant and Beverage Political Action Committee",2011,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","San Diegans Against Government Waste - No On D, Sponsored by the Lincoln Club of San Diego County and the San Diego Restaurant and Beverage Political Action Committee",1329881,,Oppose
"San Diegans for Accountability at City Hall, Yes on D",2011,D: Revises the City Charter relating to the strong mayor form of government,"San Diegans for Accountability at City Hall, Yes on D",1322855,,Support
San diegans for Great Schools with major funding provided by CAC Advisory Services LLC & Irwin Jacobs,2011,,San diegans for Great Schools with major funding provided by CAC Advisory Services LLC & Irwin Jacobs,1331139,,
San Diegans for Healthy Neighborhoods and a Strong Economy to Support Felipe Hueso for City Council - 2010,2011,Felipe Hueso,San Diegans for Healthy Neighborhoods and a Strong Economy to Support Felipe Hueso for City Council - 2010,1326995,San Diego City Council District 8,Support
San Diegans for Patient Rights Sponsored by California Cannabis Coalition,2011,,San Diegans for Patient Rights Sponsored by California Cannabis Coalition,1336190,,
San Diegans for Pension Reform,2011,B: Amends City Charter regarding retirement benefits,San Diegans for Pension Reform,1334711,,Support
"San Diego City Fire Fighters, Local 145 PAC",2011,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
"San Diego Consumers for Choice, sponsored by Wal-Mart Stores, Inc.",2011,,"San Diego Consumers for Choice, sponsored by Wal-Mart Stores, Inc.",1299425,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2011,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego County Young Democrats,2011,,San Diego County Young Democrats,1265034,,
San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,2011,,San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,1335900,,
San Diego Lodging Industry Association PAC,2011,,San Diego Lodging Industry Association PAC,1245333,,
San Diego Police Officers Assn. Political Action Committee,2011,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,2011,,San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,1258295,,
Sherman for Council 2012,2011,Scott Sherman ,Sherman for Council 2012,1340335,San Diego City Council District 7,Support
Sherri Lightner For City Council 2012,2011,Sherri Lightner,Sherri Lightner For City Council 2012,1339183,San Diego City Council District 1,Support
Todd Gloria for City COuncil 2012,2011,Todd Gloria,Todd Gloria for City Council 2012,1339121,San Diego City Council District 3,Support
Tony Young for City Council 2010,2011,Tony Young ,Tony Young for City Council 2010,1319082,San Diego City Council District 4,Support
"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",2011,Carl DeMaio,"Too Extreme for San Diego - a committee to oppose Carl DeMaio for Mayor in 2012.  Sponsored by the San Diego and Imperial Counties Labor Council, AFL-CIO",1338945,,Oppose
Unite Here San Diego,2011,,Unite Here San Diego: a Sponsored Committee of Unite Here International and Unite Here Local 30,1322418,,
"Working Family Issues to support Proposition D., a sponsored committee of the San Diego and Imperial Counties Labor Council, AFL-CIO",2011,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","Working Family Issues to support Proposition D., a sponsored committee of the San Diego and Imperial Counties Labor Council, AFL-CIO",1332817,,Support
Working San Diegans PAC,2011,,Working San Diegans PAC,1331116,,
"Yes on Propositions A, B & C Committee",2011,A: Amends the City Charter to exempt from the managed competition process the core public safety services provided by participants in the City's safety retirement system,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2011,B: Amends Charter to Require Council to Submit Charter Amendments to Voters at June 2010 Election Relating to Strong Mayor Form of Governance,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2011,"C: Amends City Charter relating to chief financial officer, city auditor, independent budget analyst, treasurer and audit committee","Yes on Propositions A, B & C Committee",1305653,,Support
Lincoln Club of Orange County,2011,,,,,
2012 Candidate for San Diego Mayor Tobiah Pettus,2012,Tobiah Pettus,2012 Candidate for San Diego Mayor Tobiah Pettus,1339330,San Diego Mayor,Support
Temporary Taxes to Fund Education.,2012,30: Temporary Taxes to Fund Education. Guaranteed Local Public Safety Funding. Initiative Constitutional Amendment. (Statewide),30: Temporary Taxes to Fund Education. Guaranteed Local Public Safety Funding. Initiative Constitutional Amendment. (Statewide),,,
No on Proposition 32,2012,32: Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute. (Statewide),32: Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute. (Statewide),,,Oppose
No on Propositon 32,2012,32: Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute. (Statewide),32: Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute. (Statewide),,,Oppose
Proposition 32,2012,32: Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute. (Statewide),32: Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute. (Statewide),,,Support
Tax Treatment for Multistate Businesses.  Clean Energy and Energy Efficiency Funding.  Initiative Statute.  Proposition 39,2012,39: Tax Treatment for Multistate Businesses. Clean Energy and Energy Efficient Funding. Initiative Statute. (Statewide),39: Tax Treatment for Multistate Businesses. Clean Energy and Energy Efficient Funding. Initiative Statute. (Statewide),,,
A Better San Diego Issues Committee - No on 32,2012,,"A Better San Diego Issues Committee, a Sponsored Committee of the San Diego-Imperial Counties Labor Council, AFL-CIO",1338947,,
"A Better San Diego Issues Committee, a Sponsored Committee of the San Diego-Imperial Counties Labor Council, AFL-CIO",2012,,"A Better San Diego Issues Committee, a Sponsored Committee of the San Diego-Imperial Counties Labor Council, AFL-CIO",1338947,,
Amend Municipal Code title Fair and Open Competition,2012,A: Prohibits the City from requiring project labor agreements on City construction projects,A: Prohibits the City from requiring project labor agreements on City construction projects,,,
No Requirement for Labor Agreements on City Construction Projects,2012,A: Prohibits the City from requiring project labor agreements on City construction projects,A: Prohibits the City from requiring project labor agreements on City construction projects,,,
Prohibits the City from Requiring Project Labor Agreements on City Contruction Projects,2012,A: Prohibits the City from requiring project labor agreements on City construction projects,A: Prohibits the City from requiring project labor agreements on City construction projects,,,
Proposition A,2012,A: Prohibits the City from requiring project labor agreements on City construction projects,A: Prohibits the City from requiring project labor agreements on City construction projects,,,
AFSCME California People Independent Expenditure Committee,2012,,American Federation of State County & Municipal Employees-CA People (AFSCME CA People) Independent Expenditure Committee,1270707,,
Assemblyman Fletcher 2010 Officeholder Account,2012,Nathan Fletcher,Assemblyman Fletcher 2010 Officeholder Account,1338864,San Diego Mayor,Support
Associated Builders & Contractors PAC,2012,,Associated Builders & Contractors Political Action Committee,822138,,
Amendments to the San Diego City Charter Affecting Retirement Benefits,2012,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
"Amendments to the San Diego City Charter Affecting Retirement Benefits, Measure",2012,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
Charter Amendment Pertaining to Retirement Benefits,2012,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
Charter Amendment pertaining to Retirement Benefits,2012,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
MEASURE B,2012,B: Amends City Charter regarding retirement benefits,B: Amends City Charter regarding retirement benefits,,,
Ben Hueso,2012,Ben Hueso,Ben Hueso,,CA Assembly District 80,
Bernie Rhinerson,2012,Bernie Rhinerson,Bernie Rhinerson,,San Diego Community College Board of Trustees Area B,
Bill Baber,2012,Bill Baber,Bill Baber,,La Mesa-Spring Valley School District Board,
Bill Wells,2012,Bill Wells,Bill Wells,,El Cajon City Council,
BOB FILNER,2012,Bob Filner,Bob Filner,,San Diego Mayor,
Bob Filner,2012,Bob Filner,Bob Filner,,San Diego Mayor,
Bob Filner for Mayor 2012,2012,Bob Filner,Bob Filner for Mayor 2012,1339185,San Diego Mayor,Support
Bob McClelan,2012,Bob McClellan,Bob McClellan,,El Cajon City Council,
Bonnie  Dumanis,2012,Bonnie Dumanis,Bonnie Dumanis,,San Diego Mayor,
Bonnie Dumanis for Mayor 2012,2012,Bonnie Dumanis,Bonnie Dumanis for Mayor 2012,1337343,San Diego Mayor,Support
Brian Jones,2012,Brian Jones,Brian Jones,,CA Assembly District 71,
Brian Maieshein,2012,Brian Maienschein ,Brian Maienschein ,,CA Assembly District 77,
Bryan Pease for City Council,2012,Bryan Pease ,Bryan Pease for City Council,1345261,San Diego City Council District 1,Support
Measurer C - Reauthorization of General Obligation Bonds,2012,C: Reauthorizing $88.4 Million in Bonds (Cajon Valley Union School District),C: Reauthorizing $88.4 Million in Bonds (Cajon Valley Union School District),,,
California for Small Business,2012,,California For Small Business Sponsored By Neighborhood Market Association,1325311,,
California Republican Party,2012,,California Republican Party,810163,,
California Taxpayer Advocate (FPPC ID# 1327218),2012,,California Taxpayers Advocate,1327218,,
Carl  DeMaio,2012,Carl DeMaio,Carl DeMaio,,San Diego Mayor,
Carl DeMaio,2012,Carl DeMaio,Carl DeMaio,,San Diego Mayor,
Carl DeMaio for Mayor 2012,2012,Carl DeMaio,Carl DeMaio for Mayor 2012,1334720,San Diego Mayor,Support
"Citizens for Patient Rights, sponsored by the Patient Care Association, an association of medicinal cannabis patients and patient organizations",2012,,"Citizens for Patient Rights, sponsored by the Patient Care Association, an association of medicinal cannabis patients and patient organizations",1338342,,
Communities 4 Camarillo City Council 2012,2012,Mateo Camarillo,Communities 4 Camarillo City Council 2012,1345842,San Diego City Council District 9,Support
"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",2012,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
Conservatives For Gay Rights Supporting Carl Demaio for Mayor 2012,2012,Carl DeMaio,Conservatives For Gay Rights Supporting Carl Demaio for Mayor 2012,1352465,San Diego Mayor,Support
Crenshaw for City Council 2013,2012,Dwayne Crenshaw,Crenshaw for City Council 2013,1354758,San Diego City Council District 4,Support
Change from General Law to Charter City,2012,D: Proposed Charter City (El Cajon),D: Proposed Charter City (El Cajon),,,
Dave Roberts,2012,Dave Roberts,Dave Roberts,,San Diego County Supervisor,
Measure E - School Bonds,2012,E: Issuing $90 Million in Bonds (Chula Vista Elementary School District),E: Issuing $90 Million in Bonds (Chula Vista Elementary School District),,,
Proposition EE,2012,EE: Issuing $497 Million in Bonds (MiraCosta Community College District),EE: Issuing $497 Million in Bonds (MiraCosta Community College District),,,
Ellis for Council 2012,2012,Ray Ellis,Ellis for Council 2012,1341190,San Diego City Council District 1,Support
Env Health & Justice Campaign Fund working to elect Bob Filner for Mayor 2012,2012,Bob Filner,Environmental Health and Justice Campaign Fund working to elect Bob Filner for Mayor 2012,1352009,San Diego Mayor,Support
Environmental Health and Justice Campaign Fund Working to Elect David Alvarez for Mayor 2013,2012,David Alvarez,Environmental Health and Justice Campaign Fund Working to Elect David Alvarez for Mayor 2013,1352009,San Diego Mayor,Support
AN INITIATIVE AMENDING THE ENCINITAS MUNICIPAL CODE TO AUTHORIZE AND REGULATE MEDICAL MARIJUANA DISPENSARIES IN ENCINITAS,2012,F: An Initiative Amending the Encinitas Municipal Code to Authorize and Regulate Medical Marijuana Dispensaries in Encinitas (Encinitas),F: An Initiative Amending the Encinitas Municipal Code to Authorize and Regulate Medical Marijuana Dispensaries in Encinitas (Encinitas),,,
"Fair and Open Competition - A, with major funding by Associated Builders & Contractors of San Diego, Inc. and Associated General Contractors of San Diego, Inc.",2012,A: Prohibits the City from requiring project labor agreements on City construction projects,"Fair and Open Competition - San Diego - Yes on A, with major funding by Associated Builders & Contractors of San Diego, Inc. and Associated General Contractors of San Diego, Inc.",1336595,,Support
Faulconer for Council 2010,2012,Kevin Faulconer,Faulconer for Council 2010,1318781,San Diego City Council District 2,Support
Fletcher for Mayor 2012,2012,Nathan Fletcher,Fletcher for Mayor 2012,1339102,San Diego Mayor,Support
Gary Woods,2012,Gary Woods,Gary Woods,,Grossmont Union High School District Board,
George Plescia,2012,George Plescia,George Plescia,,CA Senate District 39,
Greg Cox,2012,Greg Cox,Greg Cox,,San Diego County Supervisor District 1,
Gregg Robinson,2012,Gregg Robinson,Gregg Robinson,,San Diego County Board of Education District 1,
DEL MAR REGULATION OF MEDICAL MARIJUANA COMPASSIONATE USE DISPENSARIES,2012,H: Adopting an ordinance regulating medical marijuana compassionate use dispensaries and altering the Del Mar sales tax laws (Del Mar),H: Adopting an ordinance regulating medical marijuana compassionate use dispensaries and altering the Del Mar sales tax laws (Del Mar),,,
Humberto Peraza,2012,Humberto Peraza,Humberto Peraza,,Southwestern Community College District Governing Board Seat 3,
La Mesa Compassionate Use Dispensary Regulation and Taxation Act ,2012,J: Amending the La Mesa Municipal Code to Authorize and Regulate Medical Marijuana Dispensaries (La Mesa),J: Amending the La Mesa Municipal Code to Authorize and Regulate Medical Marijuana Dispensaries (La Mesa),,,
Jerry Kern,2012,Jerry Kern,Jerry Kern,,Oceanside Mayor,
Jerry Rindone,2012,Jerry Rindone,Jerry Rindone,,San Diego County Board of Education District 2,
Jim Miller,2012,Jim Miller,Jim Miller,,San Diego County Superior Court Judge District 25,
Jim Morrison City Council 2010,2012,Jim Morrison,Jim Morrison City Council 2010,1327333,San Diego City Council District 2,Support
Jim Morrison for City Council,2012,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
John Evans,2012,John Evans,John Evans,,San Diego Unified School District Board District A,
John Witt,2012,John Witt,John Witt,,San Diego County Board of Education District 1,
Just Say No San Diego - No on Propositions A & B,2012,A: Prohibits the City from requiring project labor agreements on City construction projects,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
"Just Say No, San Diego",2012,A: Prohibits the City from requiring project labor agreements on City construction projects,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
"Just Say No, San Diego - No on Prop. A & B",2012,A: Prohibits the City from requiring project labor agreements on City construction projects,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
Measure A and B,2012,A: Prohibits the City from requiring project labor agreements on City construction projects,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
Just Say No San Diego - No on Propositions A & B,2012,B: Amends City Charter regarding retirement benefits,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
"Just Say No, San Diego",2012,B: Amends City Charter regarding retirement benefits,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
"Just Say No, San Diego - No on Prop. A & B",2012,B: Amends City Charter regarding retirement benefits,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
Measure A and B,2012,B: Amends City Charter regarding retirement benefits,"Just Say No, San Diego - a sponsored committee of San Diego and Imperial Counties Labor Council AFL-CIO",1338947,,Oppose
Justin Slagle,2012,Justin Slagle,Justin Slagle,,Cajon Valley School Board Member,
Kersey for Council 2012,2012,Mark Kersey,Kersey for Council 2012,1338545,San Diego City Council District 5,Support
Lincoln Club of Northern California,2012,,Lincoln Club of Northern California,820082,,
Lincoln Club of San Diego County,2012,,Lincoln Club of SD County,831561/C00177766,,
Lincoln Club of SD County,2012,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2012,,Lincoln Club of SD County,831561/C00177766,,
London Meservy,2012,London Meservy,London Meservy,,Chula Vista City Council District 4,
Marie Waldron,2012,Marie Waldron,Marie Waldron,,CA Assembly District 75,
Mark Powell,2012,Mark Powell,Mark Powell,,San Diego Unified School District Board District A,
Mark Robak,2012,Mark Robak,Mark Robak,,Otay Water District Board of Directors Division 5,
Marne Foster,2012,Marne Foster,Marne Foster,,San Diego Unified School District Board District E,
Marti Emerald,2012,Marti Emerald ,Marti Emerald ,,San Diego City Council District 7,
Marti Emerald for City Council 2012,2012,Marti Emerald ,Marti Emerald for City Council 2012,1339119,San Diego City Council District 9,Support
Marty Block,2012,Marty Block,Marty Block,,CA Senate District 39,
Mat Kostrinsky,2012,Mat Kostrinsky ,Mat Kostrinsky ,,San Diego City Council District 7,
Mat Kostrinsky for City Council 2012,2012,Mat Kostrinsky ,Mat Kostrinsky for City Council 2012,1340950,San Diego City Council District 7,Support
Nathan Fletcher,2012,Nathan Fletcher,Nathan Fletcher,,San Diego Mayor,
Neighborhoods for Clean Elections,2012,,Neighborhoods for Clean Elections,1280768,,
New Car Dealers Association PAC,2012,,New Car Dealers Association PAC,902797,,
No Committee City Attorney Jan Goldsmith,2012,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
Palomar 1st,2012,,Palomar1st,1331046,,
Pamela Bensoussan,2012,Pamela Bensoussan,Pamela Bensoussan,,Chula Vista City Council District 3,
Pamela Bensousssan,2012,Pamela Bensoussan,Pamela Bensoussan,,Chula Vista City Council District 3,
Patrick Finucane for City Council 2010,2012,Patrick Finucane ,Patrick Finucane for City Council 2010,1318850,San Diego City Council District 2,Support
Phil Thalheimer for City Council,2012,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
Priscilla Schreiber,2012,Priscilla Schreiber,Priscilla Schreiber,,Grossmont Union High School District Board,
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2012,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Ray Ellis,2012,Ray Ellis,Ray Ellis,,San Diego City Council District 1,
Raymond Ellis,2012,Ray Ellis,Ray Ellis,,San Diego City Council District 1,
Reform San Diego,2012,,Reform San Diego,1268914,,
Republican Party of San Diego,2012,,Republican Party of San Diego County,741949,,
Republican Party of San Diego County,2012,,Republican Party of San Diego County,741949,,
Rudy Ramirez,2012,Rudy Ramirez,Rudy Ramirez,,CA Assembly District 79,
San Diegans for Bob Filner for Mayor 2012,2012,Bob Filner,San Diegans for Bob Filner for Mayor 2012,1348840,San Diego Mayor,Support
"San Diegans for Bonnie Dumanis for Mayor 2012, Sponsored by Airsam N492RM, LLC",2012,Bonnie Dumanis,"San Diegans for Bonnie Dumanis for Mayor 2012, Sponsored by Airsam N492RM, LLC",1346971,San Diego Mayor,Support
